iter	Passed	Remaining
0	0	80
1	1	64
2	1	57
3	2	51
4	2	49
5	3	48
6	3	48
7	4	47
8	4	46
9	5	45
10	5	44
11	5	43
12	6	43
13	6	42
14	7	41
15	7	40
16	8	41
17	8	40
18	9	40
19	10	40
20	11	41
21	11	41
22	12	40
23	12	39
24	13	39
25	13	38
26	14	37
27	14	37
28	14	36
29	15	35
30	15	35
31	16	34
32	16	34
33	17	33
34	18	33
35	18	33
36	19	33
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	29	19
61	30	18
62	30	18
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	41	7
85	41	6
86	42	6
87	42	5
88	43	5
89	43	4
90	44	4
91	44	3
92	44	3
93	45	2
94	45	2
95	46	1
96	46	1
97	47	0
98	47	0
99	48	0
