iter	Passed	Remaining
0	51	51907
1	53	26512
2	54	17979
3	55	13730
4	56	11163
5	57	9447
6	57	8224
7	58	7304
8	59	6577
9	60	6005
10	61	5537
11	62	5153
12	64	4864
13	65	4602
14	66	4348
15	67	4129
16	68	3947
17	69	3815
18	70	3660
19	71	3518
20	72	3393
21	73	3286
22	74	3180
23	75	3081
24	76	2990
25	79	2969
26	80	2889
27	81	2820
28	84	2845
29	85	2777
30	86	2714
31	87	2656
32	88	2602
33	89	2550
34	90	2500
35	91	2453
36	93	2441
37	101	2578
38	102	2531
39	103	2487
40	104	2445
41	105	2404
42	107	2391
43	108	2355
44	109	2324
45	129	2684
46	130	2645
47	131	2605
48	132	2567
49	133	2532
50	134	2498
51	135	2464
52	136	2433
53	137	2401
54	139	2399
55	140	2369
56	141	2342
57	142	2320
58	148	2374
59	149	2345
60	150	2318
61	151	2292
62	156	2323
63	157	2298
64	179	2584
65	180	2556
66	181	2527
67	182	2500
68	183	2472
69	184	2446
70	187	2448
71	188	2424
72	189	2400
73	197	2477
74	218	2690
75	219	2667
76	220	2644
77	228	2701
78	231	2696
79	232	2670
80	246	2800
81	247	2773
82	248	2741
83	250	2727
84	269	2902
85	270	2875
86	273	2873
87	277	2880
88	279	2857
89	280	2831
90	281	2807
91	285	2815
92	286	2790
93	295	2852
94	296	2828
95	309	2915
96	310	2890
97	311	2867
98	312	2843
99	313	2819
100	314	2796
101	315	2774
102	316	2752
103	316	2730
104	319	2723
105	320	2702
106	324	2704
107	325	2684
108	325	2664
109	326	2643
110	327	2624
111	328	2604
112	329	2585
113	345	2688
114	346	2668
115	347	2651
116	348	2630
117	352	2636
118	353	2618
119	355	2604
120	356	2586
121	356	2567
122	357	2549
123	358	2532
124	359	2516
125	360	2499
126	360	2481
127	361	2464
128	365	2464
129	369	2473
130	371	2462
131	372	2447
132	373	2432
133	374	2417
134	374	2402
135	375	2388
136	376	2373
137	378	2363
138	400	2483
139	401	2469
140	403	2455
141	403	2438
142	404	2423
143	405	2409
144	406	2395
145	407	2382
146	408	2368
147	416	2399
148	417	2385
149	418	2371
150	419	2358
151	420	2344
152	421	2331
153	422	2318
154	422	2305
155	423	2293
156	424	2280
157	425	2268
158	426	2256
159	427	2245
160	428	2231
161	429	2219
162	429	2207
163	430	2196
164	431	2184
165	432	2172
166	433	2161
167	434	2154
168	435	2143
169	452	2209
170	453	2198
171	454	2187
172	456	2180
173	457	2169
174	457	2159
175	458	2148
176	459	2137
177	460	2127
178	478	2194
179	479	2183
180	480	2172
181	482	2169
182	483	2158
183	484	2149
184	486	2142
185	487	2132
186	488	2125
187	491	2121
188	492	2112
189	494	2107
190	495	2100
191	497	2092
192	498	2083
193	499	2073
194	500	2064
195	501	2055
196	502	2046
197	502	2037
198	504	2029
199	505	2020
200	506	2014
201	507	2005
202	510	2003
203	511	1994
204	512	1987
205	513	1978
206	514	1969
207	514	1960
208	515	1952
209	516	1943
210	519	1942
211	520	1935
212	537	1984
213	538	1976
214	539	1968
215	540	1960
216	541	1953
217	542	1944
218	543	1936
219	544	1929
220	545	1921
221	546	1913
222	547	1906
223	547	1898
224	550	1896
225	551	1888
226	552	1881
227	553	1874
228	554	1867
229	555	1859
230	556	1852
231	557	1845
232	558	1837
233	559	1831
234	565	1841
235	566	1834
236	567	1826
237	568	1819
238	569	1812
239	570	1805
240	570	1797
241	571	1790
242	578	1803
243	579	1796
244	580	1789
245	581	1782
246	582	1775
247	583	1768
248	584	1761
249	585	1755
250	585	1748
251	586	1741
252	587	1735
253	593	1743
254	594	1737
255	598	1740
256	599	1733
257	600	1727
258	601	1722
259	602	1715
260	603	1709
261	604	1703
262	613	1719
263	614	1713
264	615	1706
265	616	1700
266	617	1694
267	618	1688
268	619	1684
269	620	1678
270	622	1673
271	623	1667
272	624	1662
273	635	1684
274	636	1678
275	637	1672
276	638	1667
277	639	1662
278	640	1656
279	641	1650
280	642	1644
281	643	1639
282	644	1633
283	645	1627
284	646	1621
285	647	1615
286	648	1610
287	649	1606
288	650	1600
289	651	1595
290	652	1590
291	654	1585
292	655	1580
293	656	1575
294	656	1570
295	657	1564
296	658	1559
297	659	1554
298	660	1549
299	663	1549
300	664	1543
301	667	1543
302	677	1558
303	678	1552
304	679	1547
305	680	1542
306	681	1537
307	682	1532
308	683	1527
309	684	1522
310	691	1533
311	692	1527
312	693	1522
313	694	1517
314	696	1514
315	697	1509
316	698	1504
317	699	1499
318	703	1502
319	723	1536
320	724	1532
321	725	1527
322	726	1522
323	727	1517
324	728	1512
325	729	1507
326	729	1502
327	732	1501
328	733	1496
329	734	1491
330	735	1486
331	736	1482
332	737	1478
333	738	1473
334	739	1468
335	740	1463
336	741	1458
337	742	1453
338	743	1449
339	754	1465
340	755	1460
341	756	1455
342	757	1450
343	760	1450
344	763	1449
345	765	1447
346	766	1443
347	767	1438
348	768	1433
349	769	1428
350	770	1424
351	772	1421
352	773	1417
353	774	1413
354	775	1409
355	778	1407
356	780	1405
357	781	1401
358	782	1396
359	783	1392
360	785	1390
361	787	1387
362	787	1382
363	789	1378
364	793	1380
365	794	1377
366	795	1372
367	796	1368
368	797	1364
369	799	1360
370	801	1358
371	801	1353
372	803	1350
373	805	1348
374	807	1346
375	808	1341
376	809	1337
377	810	1333
378	811	1330
379	813	1326
380	815	1324
381	816	1320
382	817	1316
383	822	1318
384	823	1315
385	894	1422
386	906	1436
387	907	1431
388	909	1427
389	909	1423
390	910	1418
391	914	1418
392	915	1413
393	916	1410
394	918	1406
395	919	1402
396	920	1397
397	931	1408
398	931	1403
399	933	1400
400	934	1396
401	935	1391
402	936	1387
403	938	1384
404	939	1380
405	942	1378
406	943	1374
407	944	1370
408	970	1401
409	971	1397
410	974	1396
411	975	1392
412	978	1390
413	979	1386
414	980	1381
415	981	1377
416	981	1372
417	982	1368
418	983	1363
419	984	1359
